('BUFSIZ\tmacro', 'BUFSIZ')
('__bridge\tmacro', '__bridge')
('__bridge_retain\tmacro', '__bridge_retain')
('__bridge_retained\tmacro', '__bridge_retained')
('__bridge_transfer\tmacro', '__bridge_transfer')
('__builtin_va_list\ttypedef', '__builtin_va_list')
('__clang__\tmacro', '__clang__')
('__clang_major__\tmacro', '__clang_major__')
('__clang_minor__\tmacro', '__clang_minor__')
('__clang_patchlevel__\tmacro', '__clang_patchlevel__')
('__clang_version__\tmacro', '__clang_version__')
('__const\tmacro', '__const')
('__core2\tmacro', '__core2')
('__core2__\tmacro', '__core2__')
('__cplusplus\tmacro', '__cplusplus')
('__darwin_blkcnt_t\ttypedef', '__darwin_blkcnt_t')
('__darwin_blksize_t\ttypedef', '__darwin_blksize_t')
('__darwin_clock_t\ttypedef', '__darwin_clock_t')
('__darwin_ct_rune_t\ttypedef', '__darwin_ct_rune_t')
('__darwin_dev_t\ttypedef', '__darwin_dev_t')
('__darwin_fsblkcnt_t\ttypedef', '__darwin_fsblkcnt_t')
('__darwin_fsfilcnt_t\ttypedef', '__darwin_fsfilcnt_t')
('__darwin_gid_t\ttypedef', '__darwin_gid_t')
('__darwin_id_t\ttypedef', '__darwin_id_t')
('__darwin_ino64_t\ttypedef', '__darwin_ino64_t')
('__darwin_ino_t\ttypedef', '__darwin_ino_t')
('__darwin_intptr_t\ttypedef', '__darwin_intptr_t')
('__darwin_mach_port_name_t\ttypedef', '__darwin_mach_port_name_t')
('__darwin_mach_port_t\ttypedef', '__darwin_mach_port_t')
('__darwin_mbstate_t\ttypedef', '__darwin_mbstate_t')
('__darwin_mode_t\ttypedef', '__darwin_mode_t')
('__darwin_natural_t\ttypedef', '__darwin_natural_t')
('__darwin_nl_item\ttypedef', '__darwin_nl_item')
('__darwin_off_t\ttypedef', '__darwin_off_t')
('__darwin_pid_t\ttypedef', '__darwin_pid_t')
('__darwin_pthread_attr_t\ttypedef', '__darwin_pthread_attr_t')
('__darwin_pthread_cond_t\ttypedef', '__darwin_pthread_cond_t')
('__darwin_pthread_condattr_t\ttypedef', '__darwin_pthread_condattr_t')
('__darwin_pthread_handler_rec\tstruct', '__darwin_pthread_handler_rec')
('__darwin_pthread_key_t\ttypedef', '__darwin_pthread_key_t')
('__darwin_pthread_mutex_t\ttypedef', '__darwin_pthread_mutex_t')
('__darwin_pthread_mutexattr_t\ttypedef', '__darwin_pthread_mutexattr_t')
('__darwin_pthread_once_t\ttypedef', '__darwin_pthread_once_t')
('__darwin_pthread_rwlock_t\ttypedef', '__darwin_pthread_rwlock_t')
('__darwin_pthread_rwlockattr_t\ttypedef', '__darwin_pthread_rwlockattr_t')
('__darwin_pthread_t\ttypedef', '__darwin_pthread_t')
('__darwin_ptrdiff_t\ttypedef', '__darwin_ptrdiff_t')
('__darwin_rune_t\ttypedef', '__darwin_rune_t')
('__darwin_sigset_t\ttypedef', '__darwin_sigset_t')
('__darwin_size_t\ttypedef', '__darwin_size_t')
('__darwin_socklen_t\ttypedef', '__darwin_socklen_t')
('__darwin_ssize_t\ttypedef', '__darwin_ssize_t')
('__darwin_suseconds_t\ttypedef', '__darwin_suseconds_t')
('__darwin_time_t\ttypedef', '__darwin_time_t')
('__darwin_uid_t\ttypedef', '__darwin_uid_t')
('__darwin_useconds_t\ttypedef', '__darwin_useconds_t')
('__darwin_uuid_string_t\ttypedef', '__darwin_uuid_string_t')
('__darwin_uuid_t\ttypedef', '__darwin_uuid_t')
('__darwin_va_list\ttypedef', '__darwin_va_list')
('__darwin_wchar_t\ttypedef', '__darwin_wchar_t')
('__darwin_wctrans_t\ttypedef', '__darwin_wctrans_t')
('__darwin_wctype_t\ttypedef', '__darwin_wctype_t')
('__darwin_wint_t\ttypedef', '__darwin_wint_t')
('__dead\tmacro', '__dead')
('__dead2\tmacro', '__dead2')
('__deprecated\tmacro', '__deprecated')
('__inline\tmacro', '__inline')
('__int128_t\ttypedef', '__int128_t')
('__int16_t\ttypedef', '__int16_t')
('__int32_t\ttypedef', '__int32_t')
('__int64_t\ttypedef', '__int64_t')
('__int8_t\ttypedef', '__int8_t')
('__llvm__\tmacro', '__llvm__')
('__mbstate8\tchar [128]', '__mbstate8')
('__mbstate_t\ttypedef', '__mbstate_t')
('__pic__\tmacro', '__pic__')
('__printflike\tmacro', '__printflike')
('__private_extern__\tmacro', '__private_extern__')
('__pure\tmacro', '__pure')
('__pure2\tmacro', '__pure2')
('__restrict\tmacro', '__restrict')
('__sFILE\tstruct', '__sFILE')
('__sFILEX\tstruct', '__sFILEX')
('__sbuf\tstruct', '__sbuf')
('__scanflike\tmacro', '__scanflike')
('__sclearerr\tmacro', '__sclearerr')
('__sfeof\tmacro', '__sfeof')
('__sferror\tmacro', '__sferror')
('__sfileno\tmacro', '__sfileno')
('__sgetc\tmacro', '__sgetc')
('__signed\tmacro', '__signed')
('__sputc(int _c, FILE *_p)\tint', '__sputc(${1:int _c}, ${2:FILE *_p})')
('__srget(FILE *)\tint', '__srget(${1:FILE *})')
('__stderrp\tFILE *', '__stderrp')
('__stdinp\tFILE *', '__stdinp')
('__stdoutp\tFILE *', '__stdoutp')
('__strfmonlike\tmacro', '__strfmonlike')
('__strftimelike\tmacro', '__strftimelike')
('__strong\tmacro', '__strong')
('__svfscanf(FILE *, const char *, __va_list_tag *)\tint', '__svfscanf(${1:FILE *}, ${2:const char *}, ${3:__va_list_tag *})')
('__swbuf(int, FILE *)\tint', '__swbuf(${1:int}, ${2:FILE *})')
('__tune_core2__\tmacro', '__tune_core2__')
('__uint128_t\ttypedef', '__uint128_t')
('__uint16_t\ttypedef', '__uint16_t')
('__uint32_t\ttypedef', '__uint32_t')
('__uint64_t\ttypedef', '__uint64_t')
('__uint8_t\ttypedef', '__uint8_t')
('__unavailable\tmacro', '__unavailable')
('__unsafe_unretained\tmacro', '__unsafe_unretained')
('__unused\tmacro', '__unused')
('__used\tmacro', '__used')
('__va_list_tag\tstruct', '__va_list_tag')
('__va_list_tag\ttypedef', '__va_list_tag')
('__volatile\tmacro', '__volatile')
('__weak\tmacro', '__weak')
('__x86_64\tmacro', '__x86_64')
('__x86_64__\tmacro', '__x86_64__')
('_mbstateL\tlong long', '_mbstateL')
('_opaque_pthread_attr_t\tstruct', '_opaque_pthread_attr_t')
('_opaque_pthread_cond_t\tstruct', '_opaque_pthread_cond_t')
('_opaque_pthread_condattr_t\tstruct', '_opaque_pthread_condattr_t')
('_opaque_pthread_mutex_t\tstruct', '_opaque_pthread_mutex_t')
('_opaque_pthread_mutexattr_t\tstruct', '_opaque_pthread_mutexattr_t')
('_opaque_pthread_once_t\tstruct', '_opaque_pthread_once_t')
('_opaque_pthread_rwlock_t\tstruct', '_opaque_pthread_rwlock_t')
('_opaque_pthread_rwlockattr_t\tstruct', '_opaque_pthread_rwlockattr_t')
('_opaque_pthread_t\tstruct', '_opaque_pthread_t')
('asprintf(char **, const char *, ...)\tint', 'asprintf(${1:char **}, ${2:const char *, ...})')
('clearerr(FILE *)\tvoid', 'clearerr(${1:FILE *})')
('clearerr_unlocked\tmacro', 'clearerr_unlocked')
('ctermid(char *)\tchar *', 'ctermid(${1:char *})')
('ctermid_r(char *)\tchar *', 'ctermid_r(${1:char *})')
('dprintf(int, const char *, ...)\tint', 'dprintf(${1:int}, ${2:const char *, ...})')
('fclose(FILE *)\tint', 'fclose(${1:FILE *})')
('fdopen(int, const char *)\tFILE *', 'fdopen(${1:int}, ${2:const char *})')
('feof(FILE *)\tint', 'feof(${1:FILE *})')
('feof_unlocked\tmacro', 'feof_unlocked')
('ferror(FILE *)\tint', 'ferror(${1:FILE *})')
('ferror_unlocked\tmacro', 'ferror_unlocked')
('fflush(FILE *)\tint', 'fflush(${1:FILE *})')
('fgetc(FILE *)\tint', 'fgetc(${1:FILE *})')
('fgetln(FILE *, size_t *)\tchar *', 'fgetln(${1:FILE *}, ${2:size_t *})')
('fgetpos(FILE *, fpos_t *)\tint', 'fgetpos(${1:FILE *}, ${2:fpos_t *})')
('fgets(char *, int, FILE *)\tchar *', 'fgets(${1:char *}, ${2:int}, ${3:FILE *})')
('fileno(FILE *)\tint', 'fileno(${1:FILE *})')
('fileno_unlocked\tmacro', 'fileno_unlocked')
('flockfile(FILE *)\tvoid', 'flockfile(${1:FILE *})')
('fmtcheck(const char *, const char *)\tconst char *', 'fmtcheck(${1:const char *}, ${2:const char *})')
('fopen(const char *, const char *)\tFILE *', 'fopen(${1:const char *}, ${2:const char *})')
('fpos_t\ttypedef', 'fpos_t')
('fprintf(FILE *, const char *, ...)\tint', 'fprintf(${1:FILE *}, ${2:const char *, ...})')
('fpurge(FILE *)\tint', 'fpurge(${1:FILE *})')
('fputc(int, FILE *)\tint', 'fputc(${1:int}, ${2:FILE *})')
('fputs(const char *, FILE *)\tint', 'fputs(${1:const char *}, ${2:FILE *})')
('fread(void *, size_t, size_t, FILE *)\tsize_t', 'fread(${1:void *}, ${2:size_t}, ${3:size_t}, ${4:FILE *})')
('freopen(const char *, const char *, FILE *)\tFILE *', 'freopen(${1:const char *}, ${2:const char *}, ${3:FILE *})')
('fropen\tmacro', 'fropen')
('fscanf(FILE *, const char *, ...)\tint', 'fscanf(${1:FILE *}, ${2:const char *, ...})')
('fseek(FILE *, long, int)\tint', 'fseek(${1:FILE *}, ${2:long}, ${3:int})')
('fseeko(FILE *, off_t, int)\tint', 'fseeko(${1:FILE *}, ${2:off_t}, ${3:int})')
('fsetpos(FILE *, const fpos_t *)\tint', 'fsetpos(${1:FILE *}, ${2:const fpos_t *})')
('ftell(FILE *)\tlong', 'ftell(${1:FILE *})')
('ftello(FILE *)\toff_t', 'ftello(${1:FILE *})')
('ftrylockfile(FILE *)\tint', 'ftrylockfile(${1:FILE *})')
('funlockfile(FILE *)\tvoid', 'funlockfile(${1:FILE *})')
('funopen(const void *, int (*)(void *, char *, int), int (*)(void *, const char *, int), fpos_t (*)(void *, fpos_t, int), int (*)(void *))\tFILE *', 'funopen(${1:const void *}, ${2:int (*)(void *, char *, int)}, ${3:int (*)(void *, const char *, int)}, ${4:fpos_t (*)(void *, fpos_t, int)}, ${5:int (*)(void *)})')
('fwopen\tmacro', 'fwopen')
('fwrite(const void *, size_t, size_t, FILE *)\tsize_t', 'fwrite(${1:const void *}, ${2:size_t}, ${3:size_t}, ${4:FILE *})')
('getc(FILE *)\tint', 'getc(${1:FILE *})')
('getc_unlocked\tmacro', 'getc_unlocked')
('getc_unlocked(FILE *)\tint', 'getc_unlocked(${1:FILE *})')
('getchar()\tint', 'getchar()')
('getchar_unlocked\tmacro', 'getchar_unlocked')
('getchar_unlocked()\tint', 'getchar_unlocked()')
('getdelim(char **, size_t *, int, FILE *)\tssize_t', 'getdelim(${1:char **}, ${2:size_t *}, ${3:int}, ${4:FILE *})')
('getline(char **, size_t *, FILE *)\tssize_t', 'getline(${1:char **}, ${2:size_t *}, ${3:FILE *})')
('gets(char *)\tchar *', 'gets(${1:char *})')
('getw(FILE *)\tint', 'getw(${1:FILE *})')
('off_t\ttypedef', 'off_t')
('pclose(FILE *)\tint', 'pclose(${1:FILE *})')
('perror(const char *)\tvoid', 'perror(${1:const char *})')
('popen(const char *, const char *)\tFILE *', 'popen(${1:const char *}, ${2:const char *})')
('printf(const char *, ...)\tint', 'printf(${1:const char *, ...})')
('putc(int, FILE *)\tint', 'putc(${1:int}, ${2:FILE *})')
('putc_unlocked\tmacro', 'putc_unlocked')
('putc_unlocked(int, FILE *)\tint', 'putc_unlocked(${1:int}, ${2:FILE *})')
('putchar(int)\tint', 'putchar(${1:int})')
('putchar_unlocked\tmacro', 'putchar_unlocked')
('putchar_unlocked(int)\tint', 'putchar_unlocked(${1:int})')
('puts(const char *)\tint', 'puts(${1:const char *})')
('putw(int, FILE *)\tint', 'putw(${1:int}, ${2:FILE *})')
('remove(const char *)\tint', 'remove(${1:const char *})')
('rename(const char *, const char *)\tint', 'rename(${1:const char *}, ${2:const char *})')
('rewind(FILE *)\tvoid', 'rewind(${1:FILE *})')
('scanf(const char *, ...)\tint', 'scanf(${1:const char *, ...})')
('setbuf(FILE *, char *)\tvoid', 'setbuf(${1:FILE *}, ${2:char *})')
('setbuffer(FILE *, char *, int)\tvoid', 'setbuffer(${1:FILE *}, ${2:char *}, ${3:int})')
('setlinebuf(FILE *)\tint', 'setlinebuf(${1:FILE *})')
('setvbuf(FILE *, char *, int, size_t)\tint', 'setvbuf(${1:FILE *}, ${2:char *}, ${3:int}, ${4:size_t})')
('size_t\ttypedef', 'size_t')
('snprintf(char *, size_t, const char *, ...)\tint', 'snprintf(${1:char *}, ${2:size_t}, ${3:const char *, ...})')
('sprintf(char *, const char *, ...)\tint', 'sprintf(${1:char *}, ${2:const char *, ...})')
('sscanf(const char *, const char *, ...)\tint', 'sscanf(${1:const char *}, ${2:const char *, ...})')
('ssize_t\ttypedef', 'ssize_t')
('stderr\tmacro', 'stderr')
('stdin\tmacro', 'stdin')
('stdout\tmacro', 'stdout')
('sys_errlist\tconst char *const []', 'sys_errlist')
('sys_nerr\tconst int', 'sys_nerr')
('tempnam(const char *, const char *)\tchar *', 'tempnam(${1:const char *}, ${2:const char *})')
('tmpfile()\tFILE *', 'tmpfile()')
('tmpnam(char *)\tchar *', 'tmpnam(${1:char *})')
('ungetc(int, FILE *)\tint', 'ungetc(${1:int}, ${2:FILE *})')
('va_list\ttypedef', 'va_list')
('vasprintf(char **, const char *, __va_list_tag *)\tint', 'vasprintf(${1:char **}, ${2:const char *}, ${3:__va_list_tag *})')
('vdprintf(int, const char *, __va_list_tag *)\tint', 'vdprintf(${1:int}, ${2:const char *}, ${3:__va_list_tag *})')
('vfprintf(FILE *, const char *, __va_list_tag *)\tint', 'vfprintf(${1:FILE *}, ${2:const char *}, ${3:__va_list_tag *})')
('vfscanf(FILE *, const char *, __va_list_tag *)\tint', 'vfscanf(${1:FILE *}, ${2:const char *}, ${3:__va_list_tag *})')
('vprintf(const char *, __va_list_tag *)\tint', 'vprintf(${1:const char *}, ${2:__va_list_tag *})')
('vscanf(const char *, __va_list_tag *)\tint', 'vscanf(${1:const char *}, ${2:__va_list_tag *})')
('vsnprintf(char *, size_t, const char *, __va_list_tag *)\tint', 'vsnprintf(${1:char *}, ${2:size_t}, ${3:const char *}, ${4:__va_list_tag *})')
('vsprintf(char *, const char *, __va_list_tag *)\tint', 'vsprintf(${1:char *}, ${2:const char *}, ${3:__va_list_tag *})')
('vsscanf(const char *, const char *, __va_list_tag *)\tint', 'vsscanf(${1:const char *}, ${2:const char *}, ${3:__va_list_tag *})')
('zopen(const char *, const char *, int)\tFILE *', 'zopen(${1:const char *}, ${2:const char *}, ${3:int})')
